id,document,metadata
11,Recently completed the fourth year of studies with honors and published a capstone on distributed systems. Passionate about designing scalable cloud architectures and mentoring peers in software development.,"{""student_id"": ""11"", ""name"": ""Emma"", ""surname"": ""Johnson"", ""email"": ""emma.johnson@example.com"", ""study_year"": 3}"
12,Completed the final year with a focus on artificial intelligence and data ethics exploring how responsible algorithms can create positive social change.,"{""student_id"": ""12"", ""name"": ""Liam"", ""surname"": ""Brown"", ""email"": ""liam.brown@example.com"", ""study_year"": 4}"
13,Finished the fourth year with a major project in bioinformatics combining protein sequence analysis with machine learning techniques. Excited about bridging biology and computation.,"{""student_id"": ""13"", ""name"": ""Sophia"", ""surname"": ""Keller"", ""email"": ""sophia.keller@example.com"", ""study_year"": 4}"
14,Successfully concluded four years of engineering studies focusing on sustainable infrastructure and the use of technology to address environmental challenges.,"{""student_id"": ""14"", ""name"": ""Noah"", ""surname"": ""Martinez"", ""email"": ""noah.martinez@example.com"", ""study_year"": 4}"
15,Completed the fourth year with distinction demonstrating a deep interest in cybersecurity and digital privacy through advanced research on encryption and network defense.,"{""student_id"": ""15"", ""name"": ""Ava"", ""surname"": ""Williams"", ""email"": ""ava.williams@example.com"", ""study_year"": 4}"
16,Concluded four years of design and development studies blending creativity with technical expertise in UI/UX. Advocates for accessibility and inclusive digital experiences.,"{""student_id"": ""16"", ""name"": ""Oliver"", ""surname"": ""Garcia"", ""email"": ""oliver.garcia@example.com"", ""study_year"": 3}"
17,Completed the fourth year of studies in robotics and automation publishing research on swarm coordination and autonomous drone behavior.,"{""student_id"": ""17"", ""name"": ""Isabella"", ""surname"": ""Lopez"", ""email"": ""isabella.lopez@example.com"", ""study_year"": 4}"
18,Finished four years of studies in technology and social entrepreneurship leading student initiatives that promote digital literacy and community development.,"{""student_id"": ""18"", ""name"": ""Ethan"", ""surname"": ""Davis"", ""email"": ""ethan.davis@example.com"", ""study_year"": 3}"
19,Graduated after four years of mathematics studies with strong focus on algorithmic design quantitative research and mentoring student problem-solving teams.,"{""student_id"": ""19"", ""name"": ""Mia"", ""surname"": ""Wilson"", ""email"": ""mia.wilson@example.com"", ""study_year"": 4}"
20,Completed the fourth year of university specializing in human-computer interaction with research focused on improving usability through cognitive and ergonomic design.,"{""student_id"": ""20"", ""name"": ""Lucas"", ""surname"": ""Anderson"", ""email"": ""lucas.anderson@example.com"", ""study_year"": 3}"
